Movie Title	Critic Rating	Critic Rating Count	User Rating	User Rating Count	Genre
Elisa & Marcela	38%	13	NOT FOUND	NOT FOUND	romance
The Perfect Date	65%	17	36%	522	romance
Plus One	89%	61	81%	346	romance
Star Wars: The Rise of Skywalker	51%	485	86%	98,236	sci-fi & fantasy
Snatchers	100%	16	62%	117	sci-fi & fantasy
Dolittle	14%	220	76%	11,521	sci-fi & fantasy
Terminator: Dark Fate	70%	326	82%	13,004	sci-fi & fantasy
Perfect	17%	12	47%	15	sci-fi & fantasy
Bit	90%	10	38%	34	sci-fi & fantasy
Bloodshot	30%	152	78%	1,568	sci-fi & fantasy
Onward	88%	311	95%	8,597	sci-fi & fantasy
Fantasy Island	8%	101	48%	3,567	sci-fi & fantasy
2050	20%	5	NOT FOUND	NOT FOUND	sci-fi & fantasy
William	42%	12	44%	9	sci-fi & fantasy
Only	39%	18	NOT FOUND	NOT FOUND	sci-fi & fantasy
2/1	60%	5	40%	5	sci-fi & fantasy
Little Joe	68%	110	42%	71	sci-fi & fantasy
After We Leave	100%	6	40%	25	sci-fi & fantasy
Ne Zha	88%	17	98%	426	sci-fi & fantasy
Color Out of Space	86%	177	82%	94	sci-fi & fantasy
Sea Fever	85%	95	NOT FOUND	NOT FOUND	sci-fi & fantasy
The Platform (El Hoyo)	83%	80	71%	1,188	sci-fi & fantasy
Black Ops	63%	8	NOT FOUND	NOT FOUND	sci-fi & fantasy
The Wave	66%	35	66%	53	sci-fi & fantasy
Butt Boy	70%	54	69%	42	sci-fi & fantasy
The Invisible Man	91%	360	88%	11,884	sci-fi & fantasy
Invasion Planet Earth	0%	5	36%	11	sci-fi & fantasy
Horse Girl	72%	53	47%	375	sci-fi & fantasy
Superman: Red Son	88%	16	64%	292	sci-fi & fantasy
James VS His Future Self	100%	16	62%	16	sci-fi & fantasy
Soundwave	85%	20	NOT FOUND	NOT FOUND	sci-fi & fantasy
Altered Carbon: Resleeved	60%	5	53%	73	sci-fi & fantasy
The Main Event	28%	18	24%	54	sci-fi & fantasy
Dreamland	47%	30	NOT FOUND	NOT FOUND	sci-fi & fantasy
Proximity	41%	22	NOT FOUND	NOT FOUND	sci-fi & fantasy
Godzilla: King of the Monsters	42%	332	83%	25,208	sci-fi & fantasy
Toy Story 4	97%	429	94%	53,146	sci-fi & fantasy
Avengers: Endgame	94%	509	90%	69,565	sci-fi & fantasy
Spider-Man: Far From Home	90%	428	95%	69,227	sci-fi & fantasy
Dark Phoenix	23%	359	64%	15,450	sci-fi & fantasy
Gemini Man	26%	300	83%	8,795	sci-fi & fantasy
Aladdin	57%	362	94%	59,044	sci-fi & fantasy
Ad Astra	84%	367	40%	10,262	sci-fi & fantasy
Men in Black International	23%	304	66%	11,493	sci-fi & fantasy
Legend Of The Demon Cat (K�kai)	91%	11	36%	75	sci-fi & fantasy
The Lighthouse	90%	359	72%	1,932	sci-fi & fantasy
Maleficent: Mistress of Evil	40%	251	95%	19,127	sci-fi & fantasy
Nekrotronic	40%	20	72%	49	sci-fi & fantasy
Freaks	87%	77	86%	152	sci-fi & fantasy
Brightburn	57%	198	67%	4,331	sci-fi & fantasy
Empathy, Inc.	85%	27	90%	48	sci-fi & fantasy
The Death of Dick Long	75%	76	86%	7	sci-fi & fantasy
Paradise Hills	64%	61	77%	362	sci-fi & fantasy
Yesterday	63%	338	89%	14,665	sci-fi & fantasy
The Fare	100%	7	NOT FOUND	NOT FOUND	sci-fi & fantasy
Lucy in the Sky	22%	123	31%	75	sci-fi & fantasy
I Lost My Body	96%	75	84%	501	sci-fi & fantasy
Critters Attack!	44%	16	25%	16	sci-fi & fantasy
Auggie	80%	15	78%	9	sci-fi & fantasy
Invader Zim: Enter the Florpus	100%	21	88%	32	sci-fi & fantasy
Riot Girls	89%	19	44%	18	sci-fi & fantasy
Klaus	94%	65	97%	1,937	sci-fi & fantasy
The VelociPastor	54%	13	70%	118	sci-fi & fantasy
